
============================================================
Phase 1: llama / arc
============================================================
Total: 5400, Done: 0, Remaining: 5400
  Phase1: 50/5400 (0.9%) | 4.6/sec | ETA: 19.2m
  Phase1: 2850/5400 (52.8%) | 5.4/sec | ETA: 7.8m
  Phase1: 2900/5400 (53.7%) | 5.5/sec | ETA: 7.6m
  Phase1: 2950/5400 (54.6%) | 5.5/sec | ETA: 7.5m
  Phase1: 3000/5400 (55.6%) | 5.4/sec | ETA: 7.3m
  Phase1: 3050/5400 (56.5%) | 5.5/sec | ETA: 7.2m
  Phase1: 3100/5400 (57.4%) | 5.4/sec | ETA: 7.1m
  Phase1: 3150/5400 (58.3%) | 5.4/sec | ETA: 6.9m
  Phase1: 3200/5400 (59.3%) | 5.4/sec | ETA: 6.7m
  Phase1: 3250/5400 (60.2%) | 5.5/sec | ETA: 6.6m
  Phase1: 3300/5400 (61.1%) | 5.5/sec | ETA: 6.4m
  Phase1: 3350/5400 (62.0%) | 5.5/sec | ETA: 6.2m
  Phase1: 3400/5400 (63.0%) | 5.5/sec | ETA: 6.1m
  Phase1: 3450/5400 (63.9%) | 5.5/sec | ETA: 5.9m
  Phase1: 3500/5400 (64.8%) | 5.5/sec | ETA: 5.7m
  Phase1: 3550/5400 (65.7%) | 5.5/sec | ETA: 5.6m
  Phase1: 3600/5400 (66.7%) | 5.5/sec | ETA: 5.5m
  Phase1: 3650/5400 (67.6%) | 5.5/sec | ETA: 5.3m
  Phase1: 3700/5400 (68.5%) | 5.5/sec | ETA: 5.1m
  Phase1: 3750/5400 (69.4%) | 5.6/sec | ETA: 4.9m
  Phase1: 3800/5400 (70.4%) | 5.6/sec | ETA: 4.8m
  Phase1: 3850/5400 (71.3%) | 5.6/sec | ETA: 4.6m
  Phase1: 3900/5400 (72.2%) | 5.6/sec | ETA: 4.5m
  Phase1: 3950/5400 (73.1%) | 5.7/sec | ETA: 4.3m
  Phase1: 4000/5400 (74.1%) | 5.7/sec | ETA: 4.1m
  Phase1: 4050/5400 (75.0%) | 5.7/sec | ETA: 4.0m
  Phase1: 4100/5400 (75.9%) | 5.7/sec | ETA: 3.8m
  Phase1: 4150/5400 (76.9%) | 5.7/sec | ETA: 3.6m
  Phase1: 4200/5400 (77.8%) | 5.8/sec | ETA: 3.5m
  Phase1: 4250/5400 (78.7%) | 5.8/sec | ETA: 3.3m
  Phase1: 4300/5400 (79.6%) | 5.8/sec | ETA: 3.2m
  Phase1: 4350/5400 (80.6%) | 5.8/sec | ETA: 3.0m
  Phase1: 4400/5400 (81.5%) | 5.8/sec | ETA: 2.9m
  Phase1: 4450/5400 (82.4%) | 5.8/sec | ETA: 2.7m
  Phase1: 4500/5400 (83.3%) | 5.7/sec | ETA: 2.6m
  Phase1: 4550/5400 (84.3%) | 5.7/sec | ETA: 2.5m
  Phase1: 4600/5400 (85.2%) | 5.7/sec | ETA: 2.3m
  Phase1: 4650/5400 (86.1%) | 5.7/sec | ETA: 2.2m
  Phase1: 4700/5400 (87.0%) | 5.6/sec | ETA: 2.1m
  Phase1: 4750/5400 (88.0%) | 5.6/sec | ETA: 1.9m
  Phase1: 4800/5400 (88.9%) | 5.6/sec | ETA: 1.8m
  Phase1: 4850/5400 (89.8%) | 5.6/sec | ETA: 1.6m
  Phase1: 4900/5400 (90.7%) | 5.6/sec | ETA: 1.5m
  Phase1: 4950/5400 (91.7%) | 5.6/sec | ETA: 1.3m
  Phase1: 5000/5400 (92.6%) | 5.5/sec | ETA: 1.2m
  Phase1: 5050/5400 (93.5%) | 5.5/sec | ETA: 1.1m
  Phase1: 5100/5400 (94.4%) | 5.5/sec | ETA: 0.9m
  Phase1: 5150/5400 (95.4%) | 5.6/sec | ETA: 0.8m
  Phase1: 5200/5400 (96.3%) | 5.5/sec | ETA: 0.6m
  Phase1: 5250/5400 (97.2%) | 5.5/sec | ETA: 0.5m
  Phase1: 5300/5400 (98.1%) | 5.5/sec | ETA: 0.3m
  Phase1: 5350/5400 (99.1%) | 5.5/sec | ETA: 0.2m
  Phase1: 5400/5400 (100.0%) | 5.5/sec | ETA: 0.0m
Phase 1 done in 16.3m (5400 calls, 5.5/sec)
  Phase 2: 31 entries to rerun with max_tokens=1024
    Rerun: 31/31, fixed: 31
  Phase 2 done: fixed 31/31 in 0.4m
Final results saved to results_exp1/results_llama_arc.json
Final None rate: 0/5400 (0.0%)


============================================================
Phase 1: llama / mmlu
============================================================
Total: 5400, Done: 0, Remaining: 5400
  Phase1: 50/5400 (0.9%) | 3.5/sec | ETA: 25.5m
  Phase1: 100/5400 (1.9%) | 3.9/sec | ETA: 22.8m
  Phase1: 150/5400 (2.8%) | 1.3/sec | ETA: 69.2m
  Phase1: 200/5400 (3.7%) | 1.5/sec | ETA: 56.7m
  Phase1: 250/5400 (4.6%) | 1.7/sec | ETA: 51.0m
  Phase1: 300/5400 (5.6%) | 1.9/sec | ETA: 45.5m
  Phase1: 350/5400 (6.5%) | 2.0/sec | ETA: 41.5m
  Phase1: 400/5400 (7.4%) | 2.1/sec | ETA: 39.7m
  Phase1: 450/5400 (8.3%) | 2.3/sec | ETA: 36.6m
  Phase1: 500/5400 (9.3%) | 2.3/sec | ETA: 34.8m
  Phase1: 550/5400 (10.2%) | 2.5/sec | ETA: 32.9m
  Phase1: 600/5400 (11.1%) | 2.5/sec | ETA: 31.4m
  Phase1: 650/5400 (12.0%) | 2.6/sec | ETA: 30.3m
  Phase1: 700/5400 (13.0%) | 2.7/sec | ETA: 29.1m
  Phase1: 750/5400 (13.9%) | 2.7/sec | ETA: 28.5m
  Phase1: 800/5400 (14.8%) | 2.7/sec | ETA: 28.0m
  Phase1: 850/5400 (15.7%) | 2.8/sec | ETA: 27.3m
  Phase1: 900/5400 (16.7%) | 2.8/sec | ETA: 27.0m
  Phase1: 950/5400 (17.6%) | 2.8/sec | ETA: 26.4m
  Phase1: 1000/5400 (18.5%) | 2.8/sec | ETA: 25.8m
  Phase1: 1050/5400 (19.4%) | 2.9/sec | ETA: 25.2m
  Phase1: 1100/5400 (20.4%) | 2.9/sec | ETA: 24.6m
  Phase1: 1150/5400 (21.3%) | 2.9/sec | ETA: 24.3m
  Phase1: 1200/5400 (22.2%) | 3.0/sec | ETA: 23.7m
  Phase1: 1250/5400 (23.1%) | 3.0/sec | ETA: 23.1m
  Phase1: 1300/5400 (24.1%) | 3.0/sec | ETA: 22.6m
  Phase1: 1350/5400 (25.0%) | 3.1/sec | ETA: 22.0m
  Phase1: 1400/5400 (25.9%) | 3.1/sec | ETA: 21.7m
  Phase1: 1450/5400 (26.9%) | 3.1/sec | ETA: 21.2m
  Phase1: 1500/5400 (27.8%) | 3.1/sec | ETA: 20.9m
  Phase1: 1550/5400 (28.7%) | 3.1/sec | ETA: 20.5m
  Phase1: 1600/5400 (29.6%) | 3.2/sec | ETA: 20.0m
  Phase1: 1650/5400 (30.6%) | 3.2/sec | ETA: 19.6m
  Phase1: 1700/5400 (31.5%) | 3.2/sec | ETA: 19.2m
  Phase1: 1750/5400 (32.4%) | 3.2/sec | ETA: 18.9m
  Phase1: 1800/5400 (33.3%) | 3.2/sec | ETA: 18.5m
  Phase1: 1850/5400 (34.3%) | 3.3/sec | ETA: 18.1m
  Phase1: 1900/5400 (35.2%) | 3.3/sec | ETA: 17.7m
  Phase1: 1950/5400 (36.1%) | 3.3/sec | ETA: 17.3m
  Phase1: 2000/5400 (37.0%) | 3.3/sec | ETA: 17.0m
  Phase1: 2050/5400 (38.0%) | 3.4/sec | ETA: 16.7m
  Phase1: 2100/5400 (38.9%) | 3.3/sec | ETA: 16.5m
  Phase1: 2150/5400 (39.8%) | 3.3/sec | ETA: 16.2m
  Phase1: 2200/5400 (40.7%) | 3.4/sec | ETA: 15.9m
  Phase1: 2250/5400 (41.7%) | 3.4/sec | ETA: 15.6m
  Phase1: 2300/5400 (42.6%) | 3.4/sec | ETA: 15.3m
  Phase1: 2350/5400 (43.5%) | 3.4/sec | ETA: 14.9m
  Phase1: 2400/5400 (44.4%) | 3.4/sec | ETA: 14.6m
  Phase1: 2450/5400 (45.4%) | 3.4/sec | ETA: 14.3m
  Phase1: 2500/5400 (46.3%) | 3.5/sec | ETA: 13.9m
  Phase1: 2550/5400 (47.2%) | 3.5/sec | ETA: 13.6m
  Phase1: 2600/5400 (48.1%) | 3.5/sec | ETA: 13.4m
  Phase1: 2650/5400 (49.1%) | 3.5/sec | ETA: 13.1m
  Phase1: 2700/5400 (50.0%) | 3.5/sec | ETA: 12.7m
  Phase1: 2750/5400 (50.9%) | 3.5/sec | ETA: 12.4m
  Phase1: 2800/5400 (51.9%) | 3.6/sec | ETA: 12.2m
  Phase1: 2850/5400 (52.8%) | 3.6/sec | ETA: 11.9m
  Phase1: 2900/5400 (53.7%) | 3.6/sec | ETA: 11.6m
  Phase1: 2950/5400 (54.6%) | 3.6/sec | ETA: 11.3m
  Phase1: 3000/5400 (55.6%) | 3.6/sec | ETA: 11.0m
  Phase1: 3050/5400 (56.5%) | 3.6/sec | ETA: 10.8m
  Phase1: 3100/5400 (57.4%) | 3.6/sec | ETA: 10.6m
  Phase1: 3150/5400 (58.3%) | 3.6/sec | ETA: 10.3m
  Phase1: 3200/5400 (59.3%) | 3.6/sec | ETA: 10.1m
  Phase1: 3250/5400 (60.2%) | 3.3/sec | ETA: 10.8m
  Phase1: 3300/5400 (61.1%) | 3.3/sec | ETA: 10.5m
  Phase1: 3350/5400 (62.0%) | 3.4/sec | ETA: 10.2m
  Phase1: 3400/5400 (63.0%) | 3.4/sec | ETA: 9.9m
  Phase1: 3450/5400 (63.9%) | 3.4/sec | ETA: 9.6m
  Phase1: 3500/5400 (64.8%) | 3.4/sec | ETA: 9.4m
  Phase1: 3550/5400 (65.7%) | 3.4/sec | ETA: 9.1m
  Phase1: 3600/5400 (66.7%) | 3.4/sec | ETA: 8.8m
  Phase1: 3650/5400 (67.6%) | 3.4/sec | ETA: 8.6m
  Phase1: 3700/5400 (68.5%) | 3.4/sec | ETA: 8.3m
  Phase1: 3750/5400 (69.4%) | 3.4/sec | ETA: 8.0m
  Phase1: 3800/5400 (70.4%) | 3.4/sec | ETA: 7.8m
  Phase1: 3850/5400 (71.3%) | 3.5/sec | ETA: 7.5m
  Phase1: 3900/5400 (72.2%) | 3.5/sec | ETA: 7.2m
  Phase1: 3950/5400 (73.1%) | 3.2/sec | ETA: 7.5m
  Phase1: 4000/5400 (74.1%) | 3.2/sec | ETA: 7.2m
  Phase1: 4050/5400 (75.0%) | 3.2/sec | ETA: 6.9m
  Phase1: 4100/5400 (75.9%) | 3.2/sec | ETA: 6.7m
  Phase1: 4150/5400 (76.9%) | 3.3/sec | ETA: 6.4m
  Phase1: 4200/5400 (77.8%) | 3.2/sec | ETA: 6.2m
  Phase1: 4250/5400 (78.7%) | 3.2/sec | ETA: 5.9m
  Phase1: 4300/5400 (79.6%) | 3.3/sec | ETA: 5.6m
  Phase1: 4350/5400 (80.6%) | 3.3/sec | ETA: 5.4m
  Phase1: 4400/5400 (81.5%) | 3.2/sec | ETA: 5.2m
  Phase1: 4450/5400 (82.4%) | 3.2/sec | ETA: 4.9m
  Phase1: 4500/5400 (83.3%) | 3.2/sec | ETA: 4.6m
  Phase1: 4550/5400 (84.3%) | 3.2/sec | ETA: 4.4m
  Phase1: 4600/5400 (85.2%) | 3.2/sec | ETA: 4.1m
  Phase1: 4650/5400 (86.1%) | 3.3/sec | ETA: 3.8m
  Phase1: 4700/5400 (87.0%) | 3.3/sec | ETA: 3.6m
  Phase1: 4750/5400 (88.0%) | 3.3/sec | ETA: 3.3m
  Phase1: 4800/5400 (88.9%) | 3.3/sec | ETA: 3.1m
  Phase1: 4850/5400 (89.8%) | 3.3/sec | ETA: 2.8m
  Phase1: 4900/5400 (90.7%) | 3.2/sec | ETA: 2.6m
  Phase1: 4950/5400 (91.7%) | 3.2/sec | ETA: 2.3m
  Phase1: 5000/5400 (92.6%) | 3.3/sec | ETA: 2.0m
  Phase1: 5050/5400 (93.5%) | 3.2/sec | ETA: 1.8m
  Phase1: 5100/5400 (94.4%) | 3.1/sec | ETA: 1.6m
  Phase1: 5150/5400 (95.4%) | 3.1/sec | ETA: 1.3m
  Phase1: 5200/5400 (96.3%) | 3.1/sec | ETA: 1.1m
  Phase1: 5250/5400 (97.2%) | 3.1/sec | ETA: 0.8m
  Phase1: 5300/5400 (98.1%) | 3.1/sec | ETA: 0.5m
  Phase1: 5350/5400 (99.1%) | 3.1/sec | ETA: 0.3m
  Phase1: 5400/5400 (100.0%) | 3.1/sec | ETA: 0.0m
Phase 1 done in 28.7m (5400 calls, 3.1/sec)
  Phase 2: 709 entries to rerun with max_tokens=1024
    Rerun: 50/709, fixed: 44
    Rerun: 100/709, fixed: 76
    Rerun: 150/709, fixed: 120
    Rerun: 200/709, fixed: 162
    Rerun: 250/709, fixed: 203
    Rerun: 300/709, fixed: 234
    Rerun: 350/709, fixed: 270
    Rerun: 400/709, fixed: 293
    Rerun: 450/709, fixed: 339
    Rerun: 500/709, fixed: 380
    Rerun: 550/709, fixed: 419
    Rerun: 600/709, fixed: 448
    Rerun: 650/709, fixed: 494
    Rerun: 700/709, fixed: 539
    Rerun: 709/709, fixed: 544
  Phase 2 done: fixed 544/709 in 14.4m
Final results saved to results_exp1/results_llama_mmlu.json
Final None rate: 165/5400 (3.1%)


============================================================
Phase 1: qwen7b / arc
============================================================
Total: 5400, Done: 0, Remaining: 5400
  Phase1: 50/5400 (0.9%) | 3.4/sec | ETA: 26.5m
  Phase1: 100/5400 (1.9%) | 3.9/sec | ETA: 22.4m
  Phase1: 150/5400 (2.8%) | 4.7/sec | ETA: 18.8m
  Phase1: 200/5400 (3.7%) | 5.1/sec | ETA: 16.9m
  Phase1: 250/5400 (4.6%) | 5.3/sec | ETA: 16.3m
  Phase1: 300/5400 (5.6%) | 4.6/sec | ETA: 18.5m
  Phase1: 350/5400 (6.5%) | 4.5/sec | ETA: 18.7m
  Phase1: 400/5400 (7.4%) | 4.5/sec | ETA: 18.4m
  Phase1: 450/5400 (8.3%) | 4.7/sec | ETA: 17.7m
  Phase1: 500/5400 (9.3%) | 4.8/sec | ETA: 17.1m
  Phase1: 550/5400 (10.2%) | 4.8/sec | ETA: 16.7m
  Phase1: 600/5400 (11.1%) | 4.7/sec | ETA: 17.0m
  Phase1: 650/5400 (12.0%) | 4.5/sec | ETA: 17.6m
  Phase1: 700/5400 (13.0%) | 4.5/sec | ETA: 17.4m
  Phase1: 750/5400 (13.9%) | 4.6/sec | ETA: 17.0m
  Phase1: 800/5400 (14.8%) | 4.6/sec | ETA: 16.7m
  Phase1: 850/5400 (15.7%) | 4.5/sec | ETA: 17.0m
  Phase1: 900/5400 (16.7%) | 4.4/sec | ETA: 16.9m
  Phase1: 950/5400 (17.6%) | 4.5/sec | ETA: 16.6m
  Phase1: 1000/5400 (18.5%) | 4.5/sec | ETA: 16.1m
  Phase1: 1050/5400 (19.4%) | 4.6/sec | ETA: 15.8m
  Phase1: 1100/5400 (20.4%) | 4.5/sec | ETA: 15.9m
  Phase1: 1150/5400 (21.3%) | 4.4/sec | ETA: 16.2m
  Phase1: 1200/5400 (22.2%) | 4.4/sec | ETA: 16.0m
  Phase1: 1250/5400 (23.1%) | 4.4/sec | ETA: 15.6m
  Phase1: 1300/5400 (24.1%) | 4.5/sec | ETA: 15.3m
  Phase1: 1350/5400 (25.0%) | 4.4/sec | ETA: 15.4m
  Phase1: 1400/5400 (25.9%) | 4.4/sec | ETA: 15.3m
  Phase1: 1450/5400 (26.9%) | 4.4/sec | ETA: 15.1m
  Phase1: 1500/5400 (27.8%) | 4.4/sec | ETA: 14.8m
  Phase1: 1550/5400 (28.7%) | 4.4/sec | ETA: 14.6m
  Phase1: 1600/5400 (29.6%) | 4.3/sec | ETA: 14.6m
  Phase1: 1650/5400 (30.6%) | 4.3/sec | ETA: 14.4m
  Phase1: 1700/5400 (31.5%) | 4.4/sec | ETA: 14.1m
  Phase1: 1750/5400 (32.4%) | 4.4/sec | ETA: 13.8m
  Phase1: 1800/5400 (33.3%) | 4.4/sec | ETA: 13.6m
  Phase1: 1850/5400 (34.3%) | 4.4/sec | ETA: 13.5m
  Phase1: 1900/5400 (35.2%) | 4.4/sec | ETA: 13.4m
  Phase1: 1950/5400 (36.1%) | 4.4/sec | ETA: 13.1m
  Phase1: 2000/5400 (37.0%) | 4.4/sec | ETA: 12.9m
  Phase1: 2050/5400 (38.0%) | 4.4/sec | ETA: 12.7m
  Phase1: 2100/5400 (38.9%) | 4.4/sec | ETA: 12.5m
  Phase1: 2150/5400 (39.8%) | 4.4/sec | ETA: 12.4m
  Phase1: 2200/5400 (40.7%) | 4.4/sec | ETA: 12.2m
  Phase1: 2250/5400 (41.7%) | 4.4/sec | ETA: 11.9m
  Phase1: 2300/5400 (42.6%) | 4.4/sec | ETA: 11.7m
  Phase1: 2350/5400 (43.5%) | 4.4/sec | ETA: 11.4m
  Phase1: 2400/5400 (44.4%) | 4.4/sec | ETA: 11.4m
  Phase1: 2450/5400 (45.4%) | 4.3/sec | ETA: 11.3m
  Phase1: 2500/5400 (46.3%) | 4.4/sec | ETA: 11.1m
  Phase1: 2550/5400 (47.2%) | 4.4/sec | ETA: 10.8m
  Phase1: 2600/5400 (48.1%) | 4.4/sec | ETA: 10.6m
  Phase1: 2650/5400 (49.1%) | 4.4/sec | ETA: 10.5m
  Phase1: 2700/5400 (50.0%) | 4.4/sec | ETA: 10.3m
  Phase1: 2750/5400 (50.9%) | 4.4/sec | ETA: 10.1m
  Phase1: 2800/5400 (51.9%) | 4.4/sec | ETA: 9.9m
  Phase1: 2850/5400 (52.8%) | 4.4/sec | ETA: 9.7m
  Phase1: 2900/5400 (53.7%) | 4.4/sec | ETA: 9.6m
  Phase1: 2950/5400 (54.6%) | 4.3/sec | ETA: 9.4m
  Phase1: 3000/5400 (55.6%) | 4.3/sec | ETA: 9.2m
  Phase1: 3050/5400 (56.5%) | 4.4/sec | ETA: 9.0m
  Phase1: 3100/5400 (57.4%) | 4.4/sec | ETA: 8.7m
  Phase1: 3150/5400 (58.3%) | 4.4/sec | ETA: 8.6m
  Phase1: 3200/5400 (59.3%) | 4.4/sec | ETA: 8.4m
  Phase1: 3250/5400 (60.2%) | 4.4/sec | ETA: 8.2m
  Phase1: 3300/5400 (61.1%) | 4.4/sec | ETA: 8.0m
  Phase1: 3350/5400 (62.0%) | 4.4/sec | ETA: 7.8m
  Phase1: 3400/5400 (63.0%) | 4.4/sec | ETA: 7.6m
  Phase1: 3450/5400 (63.9%) | 4.3/sec | ETA: 7.5m
  Phase1: 3500/5400 (64.8%) | 4.4/sec | ETA: 7.3m
  Phase1: 3550/5400 (65.7%) | 4.4/sec | ETA: 7.1m
  Phase1: 3600/5400 (66.7%) | 4.4/sec | ETA: 6.8m
  Phase1: 3650/5400 (67.6%) | 4.4/sec | ETA: 6.6m
  Phase1: 3700/5400 (68.5%) | 4.4/sec | ETA: 6.5m
  Phase1: 3750/5400 (69.4%) | 4.0/sec | ETA: 6.9m
  Phase1: 3800/5400 (70.4%) | 4.0/sec | ETA: 6.7m
  Phase1: 3850/5400 (71.3%) | 4.0/sec | ETA: 6.5m
  Phase1: 3900/5400 (72.2%) | 4.0/sec | ETA: 6.3m
  Phase1: 3950/5400 (73.1%) | 4.0/sec | ETA: 6.0m
  Phase1: 4000/5400 (74.1%) | 4.0/sec | ETA: 5.8m
  Phase1: 4050/5400 (75.0%) | 4.0/sec | ETA: 5.6m
  Phase1: 4100/5400 (75.9%) | 4.0/sec | ETA: 5.4m
  Phase1: 4150/5400 (76.9%) | 3.7/sec | ETA: 5.6m
  Phase1: 4200/5400 (77.8%) | 3.7/sec | ETA: 5.3m
  Phase1: 4250/5400 (78.7%) | 3.8/sec | ETA: 5.1m
  Phase1: 4300/5400 (79.6%) | 3.8/sec | ETA: 4.9m
  Phase1: 4350/5400 (80.6%) | 3.8/sec | ETA: 4.7m
  Phase1: 4400/5400 (81.5%) | 3.8/sec | ETA: 4.4m
  Phase1: 4450/5400 (82.4%) | 3.8/sec | ETA: 4.2m
  Phase1: 4500/5400 (83.3%) | 3.8/sec | ETA: 4.0m
  Phase1: 4550/5400 (84.3%) | 3.8/sec | ETA: 3.8m
  Phase1: 4600/5400 (85.2%) | 3.8/sec | ETA: 3.5m
  Phase1: 4650/5400 (86.1%) | 3.8/sec | ETA: 3.3m
  Phase1: 4700/5400 (87.0%) | 3.8/sec | ETA: 3.1m
  Phase1: 4750/5400 (88.0%) | 3.8/sec | ETA: 2.9m
  Phase1: 4800/5400 (88.9%) | 3.8/sec | ETA: 2.6m
  Phase1: 4850/5400 (89.8%) | 3.8/sec | ETA: 2.4m
  Phase1: 4900/5400 (90.7%) | 3.8/sec | ETA: 2.2m
  Phase1: 4950/5400 (91.7%) | 3.8/sec | ETA: 2.0m
  Phase1: 5000/5400 (92.6%) | 3.8/sec | ETA: 1.7m
  Phase1: 5050/5400 (93.5%) | 3.8/sec | ETA: 1.5m
  Phase1: 5100/5400 (94.4%) | 3.8/sec | ETA: 1.3m
  Phase1: 5150/5400 (95.4%) | 3.8/sec | ETA: 1.1m
  Phase1: 5200/5400 (96.3%) | 3.8/sec | ETA: 0.9m
  Phase1: 5250/5400 (97.2%) | 3.9/sec | ETA: 0.6m
  Phase1: 5300/5400 (98.1%) | 3.9/sec | ETA: 0.4m
  Phase1: 5350/5400 (99.1%) | 3.8/sec | ETA: 0.2m
  Phase1: 5400/5400 (100.0%) | 3.9/sec | ETA: 0.0m
Phase 1 done in 23.3m (5400 calls, 3.9/sec)
  Phase 2: 52 entries to rerun with max_tokens=1024
    Rerun: 50/52, fixed: 49
    Rerun: 52/52, fixed: 51
  Phase 2 done: fixed 51/52 in 0.6m
Final results saved to results_exp1/results_qwen7b_arc.json
Final None rate: 1/5400 (0.0%)


============================================================
Phase 1: qwen7b / mmlu
============================================================
Total: 5400, Done: 0, Remaining: 5400
  Phase1: 50/5400 (0.9%) | 2.6/sec | ETA: 33.8m
  Phase1: 100/5400 (1.9%) | 3.4/sec | ETA: 26.0m
  Phase1: 150/5400 (2.8%) | 3.7/sec | ETA: 23.6m
  Phase1: 200/5400 (3.7%) | 3.5/sec | ETA: 24.6m
  Phase1: 250/5400 (4.6%) | 3.6/sec | ETA: 23.8m
  Phase1: 300/5400 (5.6%) | 3.8/sec | ETA: 22.6m
  Phase1: 350/5400 (6.5%) | 4.0/sec | ETA: 21.1m
  Phase1: 400/5400 (7.4%) | 4.2/sec | ETA: 20.0m
  Phase1: 450/5400 (8.3%) | 4.2/sec | ETA: 19.8m
  Phase1: 500/5400 (9.3%) | 4.0/sec | ETA: 20.4m
  Phase1: 550/5400 (10.2%) | 4.0/sec | ETA: 20.4m
  Phase1: 600/5400 (11.1%) | 4.0/sec | ETA: 19.9m
  Phase1: 650/5400 (12.0%) | 4.1/sec | ETA: 19.4m
  Phase1: 700/5400 (13.0%) | 4.1/sec | ETA: 19.0m
  Phase1: 750/5400 (13.9%) | 3.9/sec | ETA: 19.7m
  Phase1: 800/5400 (14.8%) | 3.9/sec | ETA: 19.6m
  Phase1: 850/5400 (15.7%) | 4.0/sec | ETA: 18.9m
  Phase1: 900/5400 (16.7%) | 4.1/sec | ETA: 18.5m
  Phase1: 950/5400 (17.6%) | 4.0/sec | ETA: 18.6m
  Phase1: 1000/5400 (18.5%) | 4.0/sec | ETA: 18.5m
  Phase1: 1050/5400 (19.4%) | 4.0/sec | ETA: 18.3m
